,Year,Emission,GDP,Population,Log_Emission
0,1960,283294337408.0,1115878206259.6125,2729074723.0,26.36975225561277
1,1961,291309552123.0,1180476841067.7727,2762507216.0,26.3976522917336
2,1962,299469100720.0,1288869699241.989,2809373680.0,26.425277079630323
3,1963,307910868784.0,1386049317646.242,2868269135.0,26.453076190974535
4,1964,316653768960.0,1524906322393.5042,2927454417.0,26.481074802443416
5,1965,326651751522.0,1664118794467.6492,2987870930.0,26.51216046029441
6,1966,335919127950.0,1817908786174.1262,3051994380.0,26.540136277313977
7,1967,346326936183.0,1940433365374.8064,3115691985.0,26.570649068128013
8,1968,357161800325.0,2099472237322.6536,3180710414.0,26.60145473825077
9,1969,368561608101.0,2314154075991.402,3248108193.0,26.632873720764575
10,1970,380616502316.0,2716189340348.213,3317147268.0,26.665058149554785
11,1971,394079152505.0,3005933889279.742,3389468842.0,26.69981762075045
12,1972,406943394893.0,3466399311237.6875,3459529680.0,26.73193993382966
13,1973,421300993903.0,4221004692836.606,3529178975.0,26.766613365062234
14,1974,435692542997.0,4837759746407.614,3598099558.0,26.800202654929084
15,1975,449201552424.0,5403598400715.434,3665425831.0,26.830737515779795
16,1976,464252979356.0,5852473661202.694,3731354086.0,26.863695454726756
17,1977,479556077976.0,6607652403721.938,3796558058.0,26.89612667537224
18,1978,495284371166.0,7795632650987.945,3862770397.0,26.928397921764542
19,1979,511428085707.0,9043080142761.947,3930414087.0,26.960472817550478
20,1980,527595604258.0,10351607767685.428,3998649325.0,26.99159592617412
21,1981,542502943589.0,10701218476072.883,4068690649.0,27.01945934831681
22,1982,558461284903.0,10546573850453.027,4141545411.0,27.048451133273172
23,1983,573506653784.0,10719554923907.55,4214971868.0,27.07503537551305
24,1984,589902441222.0,11110904948454.219,4287849673.0,27.103223006312703
25,1985,605752719898.0,11690534294546.246,4362176652.0,27.129737686765857
26,1986,622839878128.0,13850533289508.01,4438869760.0,27.157555305248174
27,1987,640215873886.0,15965220890265.074,4517743058.0,27.185071259373153
28,1988,658018516015.0,17844068440679.75,4597560969.0,27.212498907716235
29,1989,676024509596.0,18605482141814.785,4677447650.0,27.23949516913093
30,1990,694301888151.0,21209817734868.586,4757532785.0,27.266172700205036
31,1991,712769221692.0,22011282244744.81,4837486500.0,27.292423532726307
32,1992,731360341916.0,23724056611463.65,4914198022.0,27.318172119036845
33,1993,751113280377.0,24103934236502.258,4992101042.0,27.34482231671892
34,1994,770089170709.0,26072450243818.344,5068916555.0,27.369772151204714
35,1995,789437783866.0,29181113160174.777,5146245716.0,27.39458686306062
36,1996,810247695075.0,29749024006822.605,5221915237.0,27.4206058342556
37,1997,831146148645.0,29609108651932.51,5297617140.0,27.446071487150675
38,1998,850852646615.0,29863731686334.12,5372518874.0,27.46950479731317
39,1999,871621055175.0,30977050320303.38,5446437447.0,27.49362059664915
40,2000,892852037632.0,31838882103617.035,5519812824.0,27.517686712753036
41,2001,914325425027.0,31623451134241.125,5592686531.0,27.54145238991893
42,2002,936301891264.0,32789086846938.305,5665408009.0,27.565203794822995
43,2003,959394517074.0,36805627686796.15,5738114386.0,27.58956821104495
44,2004,983554327658.0,41350416742697.62,5811094847.0,27.614438712353106
45,2005,1008543662164.0,44530857759366.24,5884465866.0,27.639528487567123
46,2006,1034012711048.0,47994149914753.55,5958119378.0,27.664468185022397
47,2007,1061647160112.0,53816699999347.664,6031786488.0,27.690842742594892
48,2008,1089460924957.0,58941105931017.78,6106351625.0,27.716704125572726
49,2009,1116021087208.0,56227341630852.24,6180735600.0,27.740790875056824
50,2010,1144147164051.0,61178549915501.48,6254965343.0,27.76568064051747
51,2011,1173508707741.0,67726808364278.445,6327866158.0,27.791019272526107
52,2012,1204312123754.0,69071022818050.05,6399398255.0,27.816929668216893
53,2013,1234135779333.0,71111876902178.5,6475202424.0,27.841392067233073
54,2014,1265089542978.0,73191452991767.77,6551687547.0,27.86616402056574
55,2015,1294281335873.0,69755956364742.01,6628376918.0,27.888976704042822
56,2016,1324634658240.0,70954791092495.12,6705866025.0,27.91215780771614
57,2017,1355121742538.0,75358652673432.5,6783023296.0,27.934912413115736
58,2018,1386767459739.0,80250187696106.66,6858161682.0,27.957996586203794
59,2019,1418414195448.0,81549760925721.42,6930795968.0,27.980560599727394
60,2020,1448984070271.0,78887341335020.28,7001756098.0,28.001883785604868
